Cód;Causa;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0508;Emisión de recibo;3;7;5;1;3;1;3;2;5;3;3;2;9;3;2;1;0;2;1;0;1;1;1;0;0;0;1;1;0;2;2;0;1;0;1;2;0;1;2;4;2;1;0;1;3;4;1;3;0;1;2;4;2;1;0;1;3;4;1;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0509;Emisión justificantes servicio;7;8;11;34;13;9;14;10;7;21;13;14;7;11;1;0;0;2;0;4;8;3;5;5;11;0;5;3;3;1;4;3;2;4;4;10;7;5;7;3;5;10;7;2;11;18;14;14;7;5;7;3;5;10;7;2;11;18;14;14;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0902;Fraude;2;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;2;0;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;1;0;1;2;0;0;0;0;0;2;0;0;1;0;1;2;0;0;0;0;0;2;0;0;1;3;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0101;Frecuencia de trenes;188;518;395;361;203;528;2.772;2.012;1.533;670;640;201;185;179;142;112;126;194;594;716;579;164;143;131;131;52;45;27;26;58;192;82;119;76;111;83;39;50;54;78;145;122;151;231;149;152;96;99;39;50;54;78;145;122;151;231;149;152;96;99;182;141;137;160;154;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0201;Funcionamiento ascensores;49;36;27;21;48;57;97;46;99;87;77;44;18;22;15;4;3;5;14;10;16;10;11;11;3;7;6;9;9;9;7;2;9;27;29;18;17;29;12;15;13;19;17;5;10;19;22;47;17;29;12;15;13;19;17;5;10;19;22;47;34;44;21;39;30;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0305;Funcionamiento equipos de información;10;8;11;13;9;10;22;10;26;26;12;2;9;9;5;1;1;3;6;7;8;10;5;8;0;5;10;16;7;11;7;5;12;8;11;6;8;17;7;6;15;9;11;12;12;9;6;2;8;17;7;6;15;9;11;12;12;9;6;2;12;20;15;19;13;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0204;Funcionamiento equipos de venta;77;47;49;56;33;46;68;31;45;60;50;64;52;35;23;11;14;28;24;21;18;30;36;46;50;30;34;38;31;33;42;38;29;34;41;61;52;43;62;37;47;55;68;65;60;60;42;64;52;43;62;37;47;55;68;65;60;60;42;64;50;40;35;30;33;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0202;Funcionamiento escaleras mecánicas;39;32;37;65;32;30;51;45;88;72;74;32;19;44;17;14;6;11;12;25;15;18;22;42;22;13;17;12;9;8;9;8;21;23;24;63;11;19;27;20;21;21;27;19;38;29;32;60;11;19;27;20;21;21;27;19;38;29;32;60;41;61;41;51;21;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0510;Funcionamiento interfonos;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;1;0;1;0;2;2;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0203;Funcionamiento torniquetes;21;54;65;42;29;16;20;11;19;26;15;19;11;13;5;1;1;4;1;3;1;11;10;6;8;5;2;8;9;9;5;5;9;8;4;6;8;6;6;17;7;11;12;22;11;16;8;16;8;6;6;17;7;11;12;22;11;16;8;16;11;16;13;29;16;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0103;Horario servicio;4;3;2;3;5;4;4;1;5;12;1;10;5;5;3;0;6;5;0;2;0;0;0;6;14;0;0;0;0;0;1;1;1;5;5;4;2;6;2;1;6;8;7;1;1;1;1;10;2;6;2;1;6;8;7;1;1;1;1;10;2;2;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0104;Horario servicio estaciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;33;33;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0404;Huelga;2;6;31;37;92;12;0;0;1;41;3;38;2;0;2;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0603;Iluminación estaciones;12;11;2;4;3;2;4;2;7;2;2;4;8;2;0;0;2;2;0;1;2;1;1;8;4;5;4;2;0;2;1;3;0;4;3;1;1;0;1;4;2;1;1;1;2;3;0;5;1;0;1;4;2;1;1;1;2;3;0;5;4;3;1;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0604;Iluminación trenes;0;0;0;0;2;0;8;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0402;Incidencias en el servicio ajenas;50;130;51;33;29;8;5;27;12;7;14;6;3;7;0;0;0;2;5;3;8;2;1;1;11;1;6;11;4;3;5;2;14;3;4;7;4;3;9;2;1;7;10;2;1;2;7;24;4;3;9;2;1;7;10;2;1;2;7;24;1;6;0;0;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0401;Incidencias en el servicio propias;96;182;200;204;97;75;136;53;170;262;100;74;65;126;18;1;27;23;10;33;32;46;34;37;47;13;10;16;22;15;30;14;13;47;61;62;23;20;48;25;45;40;33;19;51;64;37;81;23;20;48;25;45;40;33;19;51;64;37;81;52;65;74;49;66;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
